0.7	32 	 38 	 43 	 42 	 44 	 44 	 45 	 48 	 48
1.0	35 	 39 	 42 	 41 	 44 	 49 	 48 	 47 	 48
1.3	43 	 47 	 53 	 53 	 53 	 56 	 57 	 56 	 59
1.6	47 	 49 	 53 	 55 	 57 	 57 	 58 	 57 	 57
1.9	50 	 52 	 56 	 57 	 58 	 57 	 58 	 59 	 59
2.2	55 	 57 	 60 	 60 	 62 	 62 	 62 	 65 	 63
2.5	57 	 59 	 60 	 61 	 62 	 62 	 65 	 65 	 63
2.8	55 	 60 	 61 	 62 	 64 	 65 	 66 	 64 	 65
3.1	55 	 59 	 64 	 63 	 65 	 66 	 65 	 67 	 68
3.4	56 	 60 	 62 	 64 	 64 	 65 	 65 	 67 	 65
3.7	55 	 62 	 62 	 64 	 63 	 64 	 67 	 67 	 67
4.0	56 	 61 	 61 	 65 	 64 	 64 	 66 	 66 	 65
4.3	56 	 61 	 63 	 65 	 65 	 65 	 66 	 67 	 66
4.6	55 	 60 	 62 	 65 	 65 	 65 	 67 	 68 	 66
4.9	55 	 60 	 63 	 67 	 67 	 66 	 67 	 67 	 66
5.2	54 	 60 	 63 	 65 	 64 	 67 	 66 	 65 	 65
5.5	53 	 59 	 63 	 63 	 66 	 66 	 67 	 67 	 66
5.8	51 	 60 	 63 	 65 	 63 	 67 	 68 	 66 	 66
